startup_name,active_opinion_by_cms,location,hq,founded_date,industry_vertical,horizontal,operating_status,funding_status,employees,funding_round_1_investment,founder_round_1_investors,funding_round_1_date,funding_round_2_investment,founder_round_2_investors,funding_round_2_date,primary_industry,city,founders
Eat Mubarak,Y,"Karachi,Pakistan",Asia-Pacific,2018-01-01,Services,"Ecommerce , online Delivery",Active,Seed,11 to 50,500000.0,Yusuf Jan,2018-01-11,700000.0,Karavan,2019-01-02,Services,Karachi,"Ahmed Alvi, Hyder Abbas, Mian Ahmad"
Finja,Y,Lahore,Asia-Pacific,2015-01-01,"Financial Exchanges, Financial Services","Mobile Payments, Software",Active,Early Stage Venture,101 to 250,1000000.0,Vostok Emerging Finance,2016-08-02,1500000.0,"Gray Mackenzie Engineering Services, Vostok Emerging Finance",2017-10-18,Financial Exchanges,Lahore,"Monis Rehman, Qasif Shahid, Umer Munawar"
Airlift Technologies,Y,"Lahore, Punjab, Pakistan",Asia-Pacific,2018-01-01,Transportation,Mobile App,Active,Early Stage Venture,1 to 10,2200000.0,"Fatima Ventures, Indus Valley Capital, Fatima Gobi Ventures, Adil Ajmal",2019-06-08,12000000.0,"Indus Valley Capital, First Round Capital, Fatima Ventures, Curtis Lee",2019-02-11,Transportation,Lahore,"Usman Gul, Ahmed Ayub"
DealSmash,,Islamabad,Asia-Pacific,,"Retail, Artificial Intelligence","Analytics, ,Artificial Intelligence",Active,Seed,1 to 10,8800000.0,National ICT R&D Fund,2017-05-15,150000.0,Al-Hilal Securties Advisors,2018-02-27,Retail,Islamabad,"Ahsan Vaqar Hundal, Ali Hasnain, Hamza Iftikhar"
Tajir,Y,"Lahore, Pakistan",Asia-Pacific,2018-01-01,Retail,"B2B, Ecommerce, Marketplace",Active,Seed,11 to 50,150000.0,"Y Combinator , Matt Caspari",2020-03-15,1800000.0,"Fatima Gobi Ventures, Golden Gate, Pioneer Fund, Karavan, VentureSouq",2020-05-06,Retail,Lahore,"Babar Khan, Ismail Khan"
Ingrain Media,,"Lahore,",Asia-Pacific,2012-01-01,Ai,,Active,Seed,1 to 10,240000.0,,2014-06-19,680000.0,,2015-10-01,Ai,Lahore,"Aamer Zaheer,, Abdul Rehman,, Ali Rehan"
oladoc.com,Y,"Lahore,",Asia-Pacific,,"Fitness, Wellness",,Active,Seed,51-100,100000.0,Virtual Force Inc.,2016-06-01,1100000.0,Glowfish Capital,2018-02-21,Fitness,Lahore,Abid ZuberiArif Zuberi
PublishEX (SimPaisa),,"Karachi, Sindh, Pakistan",Asia-Pacific,2016-01-01,Carrier Billing,"Information Services, Information Technology",Active,Seed,11 to 50,,Planet N group of companies,2016-05-03,225000.0,Sarmayacar,2018-02-16,Carrier Billing,Karachi,"Salim Karim, Yassir Pasha"
Tez Financial Services,Y,"Karachi,Pakistan",Asia-Pacific,2016-01-01,Finanacial Services,"Big data, Analytics",Active,Seed,11 to 50,1100000.0,Omidyar Network,2018-10-19,,,,Finanacial Services,Karachi,"Humza Hussain, Nadeem Hussain, Naureen Hyat"
Journal Post INC.,Y,"Lahore, Punjab,Pakistan",Asia-Pacific,,News,E- commerce,Active,Angel,11 to 50,100000.0,Muhammad Umar Siddque,2017-10-20,,,,News,Lahore,"Anam Mukhtar, Bilal Nasir, Hafsah Haq"
Techlets Pvt. Ltd.,,"Islamabad, Pakistan",Asia-Pacific,,Artificial Intelligence,Information Technology,Active,Grant,1 to 10,190000.0,,2017-08-01,50000.0,United States Agency for International Development,2019-07-01,Artificial Intelligence,Islamabad,"Muhammad Ahsan Tahir, Samina Seth"
Patari,Y,"Lahore, Pakistan",Asia-Pacific,2015-01-01,Entertainment,Music Streaming,Active,Seed,11 to 50,200000.0,Sarmayacar,2016-12-30,,,,Entertainment,Lahore,"Faisal Sherjan, Humayun Haroon, Iqbal Talaat, Khalid Bajwa"
Sastaticket.pk,Y,"Karachi, Sindh, Pakistan",Asia-Pacific,,Travel Agency,E- commerce,Active,Early Stage Venture,11 to 50,1500000.0,Gobi Partners,2018-11-10,,,,Travel Agency,Karachi,"Bilal Mekhri, Shazil Mekhri"
Bookme.pk,Y,"Lahore, Punjab,Pakistan",Asia-Pacific,,Ticketing,E- commerce,Active,Seed,11 to 50,120000.0,,2015-06-02,,Lakson Investments Venture Capital,2019-04-20,Ticketing,Lahore,Faizan Aslam
Sehat Kahani,Y,"Karachi, Sindh, Pakistan",Asia-Pacific,,Health Care,E- commerce,Active,Seed,11 to 50,,,2017-06-29,,"Elahi group of Companies, GSMA Ecosystem Accelerator",2018-03-20,Health Care,Karachi,"Iffat Zafar, Sara Khurram"
Dawai At Door,,"Lahore, Punjab, Pakistan",Asia-Pacific,,Healthcare,"Mobile Device, Mobile Apps, Personal Health",Active,Seed,10 to 50,150000.0,Muhammad Yousaf Iqbal,2020-06-18,,,,Healthcare,Lahore,"Meerab Malik, Muhammad Ali Yousaf, Muhammad Yousaf Iqbal"
Marham,Y,"Lahore,",Asia-Pacific,2015-01-01,"Fitness, Wellness",,Active,Seed,11 to 50,,Mohammad Khan,2017-02-03,5000.0,Shazil Sultan,2019-02-09,Fitness,Lahore,Ehsan Imam
MandiExpress,Y,"Karachi,Pakistan",Asia-Pacific,2015-01-01,Retail,"Grocery, food",Active,Seed,101 to 250,725000.0,Lakson Investments Venture Capital,2020-02-21,,,,Retail,Karachi,"Danyaal Balkhi, Jehanzeb Chaudhri"
